Name,Adresse,GebDatum,Telefon
Eckehard Radisch,"Jadwiga-Drub-Straße 306,61145 Tuttlingen",1996-12-28,(04519) 618110
Rene Lindau,"Henner-Vollbrecht-Straße 9,34270 Merseburg",1910-06-09,02277399859
Violetta Scholtz-Dörr,"Bertha-Wähner-Gasse 42,47516 Wittstock",1991-05-18,09202 146903
Dr. Guido Speer,"Beierring 58,84048 Hohenstein-Ernstthal",1974-01-17,0529076155
Sofie Stahr,"Burkhard-Hänel-Weg 139,84426 Querfurt",2011-07-19,+49(0)3559 510093
Detlef Heser,"Fredo-Briemer-Platz 17,09131 Altentreptow",1994-11-26,+49(0) 941044576
Dipl.-Ing. Mirjana Gute,"Bienplatz 9,52799 Crailsheim",1958-08-01,+49(0) 481870102
Sylke Ebert,"Bolzmannstraße 8,40259 Mayen",1985-10-05,(04117) 31883
Alexandre Sontag,"Seipstraße 43,38889 Hohenmölsen",2010-03-27,+49(0) 587242423
Prof. Rose Söding,"Schomberstraße 15,75623 Euskirchen",1959-04-13,08459 50876
Kristina Bohnbach,"Geert-Hendriks-Straße 88,83582 Ludwigslust",2002-03-05,+49 (0) 6712 235168
Linus Johann,"Carla-Becker-Platz 9,12627 Magdeburg",1990-09-15,08253 06993
Rotraut Langern,"Martina-Wulff-Straße 55,92239 Wittstock",1925-03-20,+49(0)1329 884814
Susann Gierschner-Weihmann,"Meta-van der Dussen-Straße 0,88737 Plauen",2014-01-06,(06930) 85100
Annette Käster-Gude,"Renata-Losekann-Straße 7,19342 Sondershausen",1978-02-27,+49(0) 286496563
Univ.Prof. Angela Hettner,"Truppplatz 86,28423 Belzig",1959-04-16,+49(0) 812886092
Sarah Knappe,"Gutknechtweg 32,55183 Soltau",1948-02-03,+49 (0) 8586 874528
Ester Pohl,"Silvio-Scholz-Gasse 92,20163 Oschatz",1987-06-28,02196 70339
Klaus-D. Baum,"Trubring 25,54720 Euskirchen",1989-10-15,08495 882439
Cengiz Koch,"Ernstring 777,32690 Hannover",1988-08-22,0666859481
Annegrete Roht,"Bohnbachweg 542,42030 Burglengenfeld",1907-05-17,07402513826
Rosl Biggen,"Radischring 97,82719 Gunzenhausen",1949-07-04,+49(0) 248558924
Kunigunde Trubin,"Loni-Ehlert-Ring 4,41383 Lemgo",1969-11-14,(02955) 71631
Univ.Prof. Maik Zimmer,"Ferdinand-Heß-Allee 528,13883 Nordhausen",1937-06-02,(02877) 76165
Wencke Wohlgemut-Mohaupt,"Mosemannring 2,69393 Stadtroda",1928-08-05,+49(0)0167 52298
Prof. Maritta Hermann,"Tomasz-Reising-Platz 412,31986 Ravensburg",2017-04-17,+49(0)0920 95565
Goran Mälzer-Margraf,"Etzlergasse 894,69327 Halberstadt",1995-12-27,+49(0)9017656681
Ing. Ulrich Kranz,"Ewald-Harloff-Ring 175,65160 Mettmann",2012-07-13,0127460321
Therese Peukert,"Jasmina-Stiebitz-Allee 89,75165 Recklinghausen",1964-05-11,+49(0)3390769696
Ing. Vincent Salz,"Reingard-Weihmann-Platz 88,47875 Bautzen",1965-04-26,+49(0) 870322839
Dipl.-Ing. Peter Putz,"Holger-Eberth-Ring 36,44587 Perleberg",2005-05-29,(02038) 781256
Zita Pärtzelt,"Freudenbergerstr. 8,97335 Backnang",1911-10-31,03737998341
Manuel Reichmann-Werner,"Karl-Friedrich-Johann-Ring 14,72045 Güstrow",1914-01-03,07102567969
Piotr Scheel,"Briemerplatz 15,15347 Waldmünchen",2018-09-15,+49 (0) 5094 906809
Edeltraud Fröhlich,"Nada-Ditschlerin-Allee 3,44522 Eilenburg",2014-07-26,06799 081049
Ing. Harro Weiß,"Henckring 34,26179 Wesel",1948-07-13,06237629130
Gudula Noack,"Biggenplatz 04,86228 Soltau",1910-11-09,+49(0)7836 058657
Lothar van der Dussen,"Carstenring 16,82923 Guben",1973-03-30,+49(0)5372498320
Hermann Josef Dowerg,"Gotthold-Ullmann-Allee 480,59930 Aue",1955-01-01,+49(0)4085 76613
Ester Klingelhöfer,"Blochring 5,23383 Senftenberg",1911-03-27,+49 (0) 5049 738910
Rosi Bohnbach-Oestrovsky,"Mendestraße 86,18475 Genthin",1963-04-15,+49(0)5177371963
Brit Weinhage,"Wally-Rose-Straße 78,91437 Helmstedt",1951-01-30,+49(0) 660029028
Univ.Prof. Käthi Pieper,"Viola-Hölzenbecher-Weg 516,56158 Hagenow",2013-09-23,+49(0) 156735372
Dr. Christin Scheuermann,"Anto-Flantz-Straße 533,75195 Sondershausen",1984-01-18,(09684) 147745
Uschi Scholl,"Rustring 6,69071 Halberstadt",1965-07-23,(02865) 36714
Eberhard Vogt,"Helen-Rädel-Weg 99,23189 Vohenstrauß",2002-02-11,0066373634
Gundel Eigenwillig-Ullrich,"Trudel-Rosemann-Platz 50,46677 Göttingen",1991-10-25,0525086887
Berthold Hesse-Holt,"Heinzstraße 3,43673 Monschau",2009-05-02,00822 507456
Kordula Börner,"Gerald-Johann-Allee 861,36291 Stollberg",1953-11-26,(03692) 310983
Donata Bonbach,"Ebertgasse 71,71431 Schweinfurt",1978-08-15,+49(0)7929 043289
Tibor Gehringer-Fischer,"Kästerring 878,91309 Luckenwalde",1960-09-26,+49 (0) 2266 492751
Gabriela Zorbach,"Magrit-Carsten-Ring 464,64179 Ebersberg",1968-06-14,(00490) 71754
Univ.Prof. Ralf-Dieter Ullrich,"Jann-Rogner-Allee 70,65741 Demmin",1960-05-23,(06406) 988517
Margita Dobes,"Lilija-Thanel-Platz 72,72061 Ebersberg",1954-01-04,+49 (0) 0754 199450
Dragan Bender,"Fabian-Hermighausen-Weg 6,00768 Bad Liebenwerda",2020-04-21,+49(0) 753032833
Kornelius Nohlmans,"Friedericke-Hiller-Straße 86,38974 Sebnitz",1997-06-13,+49 (0) 4622 158353
Mina Bolnbach,"Elzbieta-Trupp-Straße 76,10387 Greifswald",1926-09-30,+49 (0) 3100 382206
Univ.Prof. Teresa Siering,"Siegmar-Blümel-Gasse 408,24409 Bremervörde",1964-04-27,+49(0)4586485185
Anastasia Hermighausen,"Pohlstr. 48,21526 Klötze",2011-01-01,+49(0)2611 164974
Nicolai Schmiedt,"Truppring 484,10494 Recklinghausen",1936-07-28,(02668) 791382
Benita Trüb,"Clara-Eigenwillig-Allee 58,18258 Stadtsteinach",1969-01-19,06341 68733
Jörgen Nette,"Amalia-Drubin-Allee 96,26162 Wertingen",1992-04-29,0775413932
Prof. Thorsten Plath,"Hans-Albert-Döhn-Platz 78,89218 Deggendorf",1927-02-18,+49(0)6338 840159
Stephanie Hövel,"Seidelgasse 84,98399 Seelow",1965-02-07,07205 952034
Alberto Austermühle,"Bendergasse 28,03474 Lüdenscheid",1961-10-04,+49(0)0212293365
Rotraud Ullmann,"Corinna-Pechel-Gasse 25,93456 Tecklenburg",2017-06-25,+49(0)7668 546880
Bertold Döring,"Darko-Rust-Platz 6,24662 Querfurt",1964-02-27,+49(0)0924790671
Claus-Dieter Tintzmann,"Casparstraße 8,24244 Darmstadt",1982-09-09,0731000359
Elif Hörle,"Beckergasse 21,26149 Potsdam",1932-03-27,+49 (0) 1287 180920
Marina Schweitzer,"Hellmuth-Fechner-Straße 83,22733 Hamburg",1942-01-09,04140434353
Dipl.-Ing. Lena Hellwig,"Walterstr. 25,13619 Plauen",1999-05-16,+49(0)4254613709
Theres Heuser,"Trubgasse 8,37042 Stadtroda",1936-05-07,+49(0)0312 99762
Steven Bolzmann,"Rosemanngasse 016,38837 Ansbach",2019-06-17,05908 050683
Anatolij Putz,"Cichoriusallee 32,80956 Oberviechtach",1931-08-01,0812831627
Sandra Barkholz,"Adelinde-Heidrich-Platz 9,37454 Aurich",1970-11-28,+49(0) 823483356
Florence Martin,"Dobesstraße 5,12646 Bad Kreuznach",1977-01-13,+49(0)7521 126492
Laurenz Kranz,"Beata-Schönland-Allee 9,18575 Stade",1990-04-29,+49 (0) 9236 070123
Asta Schüler,"Ackermannstraße 00,99559 Greifswald",1924-08-30,+49(0)3655 906248
Jessica Bähr,"Albrecht-Fiebig-Allee 61,64549 Bad Kissingen",1920-06-16,+49(0)6640981359
Aziz Trapp-Zänker,"Ferenc-Baum-Platz 63,18928 Gransee",2016-03-13,+49(0)1039 46673
Felix Reising,"Heide-Marie-auch Schlauchin-Allee 3,74587 Lörrach",1937-10-15,+49(0)9898 313515
Leonid Kusch,"Hansjörg-Geisel-Gasse 60,10691 Tübingen",2022-02-25,0967149907
Renate Zobel-Budig,"Bettina-Gumprich-Ring 877,77042 Großenhain",2017-06-27,(00702) 419207
Theresia Birnbaum-Drewes,"Kensyplatz 9,38100 Schweinfurt",2017-12-07,02211 75351
Dr. Walther Oestrovsky,"Stiebitzallee 70,43130 Wetzlar",1992-05-03,+49 (0) 1708 455391
Bert Geisel,"Marie-Theres-Steinberg-Straße 984,93723 Hannover",1969-12-27,0454542327
Trudi Mitschke,"Börnerring 1,50559 Neuss",2016-10-28,+49(0)2330 281506
Karl-Josef Peukert,"Geißlerstraße 4,37459 Griesbach Rottal",1966-01-24,+49(0)1562 27570
Vassilios Benthin,"Wilmsenplatz 6,64279 Schwäbisch Gmünd",1975-03-15,04070 093181
Carmine auch Schlauchin,"Pohlring 928,76843 Wetzlar",1981-10-27,(07711) 05384
Piotr Gorlitz,"Walterstraße 4,85049 Viersen",1930-11-30,+49 (0) 6729 203755
Denise Schottin,"Muzaffer-Jacobi Jäckel-Weg 1,41884 Suhl",1985-04-21,+49 (0) 1919 551603
Siegmar Sorgatz,"Junckplatz 4,48678 Uffenheim",1919-03-19,+49 (0) 3981 543312
Imke Henck,"Gudestraße 4,81662 Hettstedt",1934-09-22,(06022) 772716
Monica Weihmann-Hecker,"Schweitzerallee 365,83924 Lörrach",1985-05-15,00107 60039
Prof. Mesut Süßebier,"Frieda-Trubin-Platz 0,11306 Auerbach",1989-12-01,0402509887
Aleksej Wirth,"Vollbrechtstraße 0,72529 Burgdorf",1956-09-01,06727 12198
Ibrahim Reinhardt,"Claudius-Müller-Straße 21,14194 Weißwasser",1968-10-25,+49(0)4264 08489
Pietro Hein-Meyer,"Friedemann-Noack-Straße 5,63309 Güstrow",1954-02-28,07301978044
Ute Putz,"Kunigunda-Stiebitz-Allee 39,83938 Sankt Goar",2020-05-30,+49(0)6081673325
Nuray Karge,"Hanny-Anders-Ring 33,62399 Greiz",1950-01-21,01648 683047
Aleksandra Hornig,"Selim-Schottin-Allee 630,81725 Kassel",1937-06-10,0372662645
Abbas Hesse,"Ziegertstr. 05,16001 Greifswald",2018-09-11,0001369324
Diether Freudenberger,"Ernstgasse 367,36936 Schwerin",1954-11-09,02636265201
Meta Jäntsch,"Bärerallee 8,80079 Schwäbisch Hall",1974-07-29,06724465973
Dipl.-Ing. Josip Rogge,"Malgorzata-Wilms-Gasse 676,32064 Staffelstein",1936-02-26,05117185691
Dr. Helmar Gehringer,"Elke-Wagenknecht-Straße 46,79295 Soest",1931-10-08,(09697) 11393
Franca Davids,"Luka-Schulz-Gasse 5,22982 Monschau",1944-11-03,0098522382
Prof. Dragan Renner,"Löfflerallee 34,79086 Teterow",1942-09-30,+49(0)2722 516298
Leonid Tröst,"Gerlachstr. 1,70689 Hettstedt",2008-02-27,+49(0)6107282240
Univ.Prof. Friedemann Vogt,"Schmiedeckeallee 72,18691 Feuchtwangen",2001-09-28,+49(0)6548 737727
Ing. Chantal auch Schlauchin,"Ringallee 46,18700 Main-Höchst",1995-12-24,05940 552537
Peer Hörle,"Danuta-Mälzer-Ring 8,91870 Ingolstadt",2009-07-01,06953 143340
Dipl.-Ing. Kirsten Rohleder,"Jäntschring 5,21033 Ebermannstadt",1973-03-01,+49(0)9603 31625
Bernd Winkler,"Christina-Schottin-Straße 04,29099 Ravensburg",1968-06-27,+49(0)8083409696
Univ.Prof. Klaus-Günter Junck,"Willi-Kruschwitz-Gasse 2,50344 Werdau",2014-08-07,(04407) 724268
Nancy Kuhl-Holt,"Cord-Junken-Ring 35,19441 Hofgeismar",1930-11-17,+49(0)5392713892
Magnus Kühnert,"Klappweg 8,05410 Genthin",1912-03-08,03962 659468
Harm Wiek-Textor,"Hertrampfring 913,12004 Vohenstrauß",1951-09-15,+49(0) 303687694
Jürgen Bohnbach,"Kirstin-Baum-Ring 4,19581 Lüdenscheid",1928-02-22,0018485228
Dr. Roberto Fritsch,"Hethurplatz 3,73786 Neustadtner Waldnaab",1943-08-02,+49 (0) 9460 201948
Arif Birnbaum,"Ullmannallee 96,65922 Wolfratshausen",1937-02-21,+49(0)6445 852100
Bernhard Kusch,"Ronny-Beier-Straße 6,46582 Hagenow",1989-06-16,01101 984420
Prof. Cindy Weller,"Nuray-Schenk-Weg 313,85633 Berchtesgaden",1994-08-23,(09397) 39735
Pedro Kranz,"Biggenallee 07,18635 Euskirchen",1949-08-23,+49 (0) 3842 151768
Janna Hettner,"Dimitrios-Trommler-Straße 71,78506 Anklam",1926-10-13,+49(0) 287313733
Roswitha Rust,"Hethurplatz 7,07915 Burg",1998-04-12,0121686474
Anna-Marie Löwer,"Oderwaldallee 7,48608 Quedlinburg",1996-01-24,+49(0) 845723796
Herlinde Wähner,"Försterstr. 6,76976 Finsterwalde",1907-01-31,(08940) 300110
Hubertine Lange,"Hartmannring 667,13529 Stollberg",1933-06-18,(03939) 62585
Dipl.-Ing. Catharina Gotthard,"Cemal-Eberth-Platz 85,66088 Saulgau",2006-09-21,05536621207
Dr. Gretchen Mangold,"Krokergasse 1,51405 Eilenburg",1952-04-02,06884 39124
Vitus Carsten,"Kaulplatz 65,36141 Anklam",1949-06-15,+49(0) 465167789
Prof. Willy Pergande,"Marko-Weiß-Weg 2,30306 Quedlinburg",1935-01-06,+49(0)8222 39588
Fatih Klemt,"Wesackplatz 02,41525 Miesbach",1974-12-23,+49 (0) 3972 124252
Christine Putz,"Weihmanngasse 71,53795 Lüneburg",1929-04-11,09079 880573
Prof. Sylke Zobel,"Anatolij-Förster-Weg 85,02934 Northeim",1921-02-17,+49 (0) 7409 075542
Margitta Bolander,"Staudeplatz 817,82463 Bad Langensalza",2005-08-05,03267 47690
Brunhild Pölitz,"Hornichweg 50,77879 Husum",1956-08-21,+49(0)3435989880
Prof. Karl-Dieter Tschentscher,"Kornelia-Buchholz-Weg 59,28728 Gießen",1946-06-21,08955 15189
Antoinette Hertrampf,"Zahnstr. 067,88066 Hansestadttralsund",1944-02-01,+49(0)9688175797
Dipl.-Ing. Gundula Kensy,"Bienstr. 3,45781 Sebnitz",1927-09-30,0202767875
Kristine Mitschke-Dowerg,"Trubinring 25,93276 Chemnitz",1942-04-04,+49 (0) 1783 701803
Dr. Valerie Trubin,"Zimmerring 888,27915 Tuttlingen",1963-01-06,+49(0) 346699406
Ing. Klaus Weiß,"Brigitta-Rörricht-Straße 881,31561 Uelzen",1938-02-19,02722 071605
Carlo Lorch-Austermühle,"Margitta-Scheibe-Ring 32,00083 Erbisdorf",1935-05-30,04717482262
Ilja Bolander,"Kristiane-Gehringer-Weg 903,05968 Gifhorn",1976-07-01,+49(0)3089989459
Monica Scheibe,"Klaus-Günter-Jopich-Allee 717,40796 Parchim",2022-05-03,04385 65289
Prof. Igor Christoph,"Wiekstraße 560,55184 Bischofswerda",1995-03-25,+49(0)1537 57364
Giovanna Wieloch,"Frank-Peter-Bien-Allee 5,09528 Donaueschingen",1923-03-20,0331293681
Univ.Prof. Cilly Fischer,"Ullrichallee 907,46567 Augsburg",1989-12-17,+49(0)4096 116201
Silva Ullrich,"Sandra-Aumann-Weg 57,43418 Zerbst",1984-12-21,00836249516
Alfonso Hamann,"Röhrichtgasse 5,33068 Altentreptow",1989-06-16,0249098962
Hertha Hornig,"Drubinstraße 95,19498 Halberstadt",2019-11-22,00312 96340
Ing. Trude Bloch,"Schweitzerweg 01,57244 Güstrow",1924-08-29,01189 84525
Lutz Schweitzer,"Seipring 65,15379 Sömmerda",1931-08-11,+49(0)6366573953
Roderich Henck,"Jobst-Hethur-Ring 25,87221 Döbeln",1971-03-26,+49(0)2503 923500
Pasquale Franke,"Ackermannring 47,22321 Holzminden",1977-02-01,+49(0)9157 60299
Ing. Eva-Marie Beer,"Mangoldgasse 806,30073 Luckenwalde",1942-05-24,(05561) 57100
Ing. Patricia Haering,"Neuschäferweg 6,63459 Haldensleben",1986-06-27,+49(0)9911249981
Hanns Hein,"David-Hesse-Allee 875,43168 Dinslaken",1931-07-28,01155 336355
Kristin Kruschwitz,"Dan-Schmidt-Gasse 54,46733 Torgau",1944-04-03,(04049) 96817
Norma Siering-Jopich,"Harriet-Preiß-Gasse 291,20533 Großenhain",2019-12-09,+49(0)9268 91943
Hans-Karl Hentschel,"Annita-Anders-Platz 61,55358 Witzenhausen",1957-06-20,09227 392672
Tatjana Schulz,"Marieluise-Scholz-Gasse 7,47739 Eutin",2019-03-25,07190 72700
Danuta Adolph,"Vitali-Fliegner-Straße 02,41863 Lobenstein",1942-02-17,01204 941908
Artur Dietz-auch Schlauchin,"Gertraude-Juncken-Gasse 27,00463 Döbeln",1927-10-28,04513378832
Krzysztof Scheibe-Girschner,"Röhrichtweg 90,93694 Aschaffenburg",1993-02-27,+49(0)2108 53074
Ernst-Dieter Ullmann,"Hans-Werner-Kruschwitz-Gasse 410,36887 Bad Mergentheim",1949-02-27,06927 837512
Vadim Oestrovsky-Wagenknecht,"Patbergallee 03,01260 Herzberg",1927-08-12,09142 02150
Dr. Hans-Helmut Ullrich,"Ottoring 162,34123 Erfurt",1943-12-03,(01020) 68825
Franka Scheuermann,"Schaafring 48,51644 Merseburg",1992-03-21,(09604) 47933
Sebastiano Naser,"Rotraud-Pechel-Allee 3,21230 Brand",1911-01-22,+49(0) 860101685
Iris Heinz,"Janos-Henk-Weg 00,23496 Schongau",1915-12-17,+49(0)9580 781028
Oxana Lehmann,"Joseph-Trapp-Platz 8,53267 Saarlouis",1935-01-06,+49 (0) 3294 972284
Osman Schweitzer,"Putzstraße 33,74609 Lüdinghausen",1966-03-02,+49(0)8684531717
Ursula Textor,"Margrafring 988,15527 Uffenheim",1984-05-26,+49 (0) 3142 076968
Veit Hecker,"Schlosserweg 20,78390 Rockenhausen",2016-07-22,+49(0)9035 06945
Prof. Kathy Bähr,"Jonas-Schuster-Allee 128,43211 Burgdorf",1988-05-16,(08723) 313989
Jochem Mitschke,"Casparplatz 070,22068 Burglengenfeld",2019-10-06,0602701699
Dipl.-Ing. Ryszard Gierschner,"Mudegasse 108,77500 Kitzingen",2006-04-06,0817849000
Lukas Heß,"Bert-Bonbach-Platz 6,75354 Zossen",1941-06-11,05563 87709
Lilli Bloch,"Beate-Ortmann-Straße 387,46540 Haldensleben",1980-08-24,01326 675839
Bernt Freudenberger,"Winklerstr. 38,83381 Ebermannstadt",1938-01-31,06881 160165
Hildegard Dehmel,"Urte-Ruppert-Weg 633,04362 Hettstedt",1981-05-28,04555 610368
Dipl.-Ing. Lothar Weiß,"Trubinstraße 83,45304 Neu-Ulm",1985-02-18,07237 153834
Ramona Trubin,"Eugen-Putz-Platz 02,53257 Freital",1959-04-20,+49(0)4446 405791
Fredy Tschentscher,"Krzysztof-Thies-Ring 67,94504 Iserlohn",1999-03-30,07439 68564
Tilly Pieper,"Karl-Hermann-Atzler-Ring 59,72493 Sonneberg",2017-05-23,+49 (0) 6542 268230
Albert Putz,"Krzysztof-Scholl-Ring 4,54737 Neuruppin",1924-10-29,04541 85616
Dr. Marian Eberhardt,"Junckenplatz 716,20223 Eisenach",2005-11-16,02419496663
Dipl.-Ing. Martina Scholl,"Grazyna-Hertrampf-Allee 176,84102 Schweinfurt",1945-01-18,+49(0)6074 374289
Erica Müller,"Wulfplatz 130,42282 Lüdenscheid",1932-01-27,00497 336261
Tülay Buchholz,"Cäcilia-Bonbach-Straße 05,07239 Erbisdorf",1950-12-16,+49(0) 941991289
Antje Gieß,"Freudenbergerplatz 60,15266 Hechingen",1923-04-11,07397 469170
Irma Preiß,"Ira-Koch-Platz 87,74196 Bremervörde",2001-08-08,0037393834
Silke Pergande,"Heserallee 84,77307 Rottweil",1933-04-18,+49(0)8220 13528
Siegrid Krause,"Annett-Bonbach-Platz 837,21514 Aue",1992-03-16,07798 98719
Dipl.-Ing. Xenia Hornig,"Wigbert-Hethur-Ring 49,71413 Hannover",1916-04-28,(08424) 15911
Kristin Textor,"Eleonore-Mentzel-Gasse 34,52570 Bützow",1950-05-21,(01197) 04495
Dr. Leo Hein,"Geislergasse 260,06596 Schwabmünchen",1990-01-07,(08030) 783415
Dana Lehmann,"Mangoldgasse 099,08177 Sömmerda",1964-05-04,+49(0)5202 001702
Hannelore Ullmann,"Ines-Fischer-Platz 66,92837 Torgau",2017-01-27,+49(0) 646785545
Dr. Ricarda Biggen,"Drewesallee 56,90954 Germersheim",1971-08-19,(01179) 02022
Adolf Schmidt,"Kostolzinplatz 2,34481 Heinsberg",1977-10-25,+49 (0) 0905 668693
Viola Schmidtke,"Kobeltweg 009,51475 Säckingen",1999-04-29,04170 41979
Martha Matthäi,"Andersplatz 587,42499 Waren",2016-11-03,+49(0)4719 29116
Marica Kabus,"Mareike-Rust-Weg 289,94899 Helmstedt",1965-10-22,+49(0)8013 09223
Hans Georg Stolze-Barth,"Gerald-Möchlichen-Allee 31,20732 Worbis",2006-12-29,+49(0) 590819215
Diether Eigenwillig-Mies,"Köstergasse 57,50121 Eichstätt",2010-05-21,+49 (0) 6372 696411
Hans-Albert Otto,"Heringgasse 90,53987 Prenzlau",1957-03-19,(03970) 07229
Alfredo Kohl,"Metzplatz 99,99658 Wittstock",1917-06-03,08997 240439
Ralf Putz,"Heinstr. 630,90288 Oberviechtach",1991-11-20,+49(0) 849404855
Guntram Juncken,"Rosenowring 57,51031 Gadebusch",1961-09-29,+49 (0) 8054 190204
Krystyna Zorbach,"Manfred-Rädel-Ring 759,53380 Pirmasens",1918-05-16,+49(0) 098971180
Dipl.-Ing. Tatiana Heser,"Rohtgasse 06,57550 Tirschenreuth",1923-05-30,03663180422
Georgia Klingelhöfer,"Briemerstr. 7,34749 Vohenstrauß",1969-12-01,+49(0)5504 03546
Jobst Schaaf-Naser,"Kösterplatz 5,02945 Kronach",1960-10-21,04132 856568
Hans-Henning Pärtzelt,"Kreuselplatz 13,33085 Amberg",1987-08-22,08305 724967
Türkan Hänel,"Eimergasse 8,15900 Konstanz",1972-09-11,0834142401
Dogan Jähn,"Romana-Jacobi Jäckel-Weg 05,28902 Günzburg",1941-11-15,0685100979
Uli Wernecke,"Eimerstr. 396,69263 Königs Wusterhausen",2018-02-10,(03909) 841588
Sibel Löwer,"Segebahnallee 63,65554 Bruchsal",1994-04-20,(03819) 852013
Dr. Gilda Siering,"Rita-Schulz-Platz 47,40402 Quedlinburg",2001-05-08,+49(0)0531 04525
Konstantinos Jessel,"Bergerweg 7,76144 Eilenburg",1938-03-03,02264481058
Sophie Hübel,"Täscheweg 9,61510 Rosenheim",1961-01-21,+49(0)1811 45494
Dipl.-Ing. Pedro Johann,"Kuschstraße 83,72449 Dinslaken",2017-06-05,(03273) 96562
Hedwig Kusch-Mentzel,"German-Hermann-Straße 204,37964 Gräfenhainichen",1985-06-11,(02149) 798694
Thaddäus Otto,"Schollplatz 906,55159 Mellrichstadt",1943-02-27,(06159) 84687
Ing. Birgid Oestrovsky,"Jasmina-Schacht-Weg 969,14667 Sigmaringen",2021-08-03,(07527) 885947
